iter	MultiClass
173	1.491069149
174	1.490961748
175	1.490762868
176	1.490340205
177	1.490127477
178	1.489917117
179	1.489652389
180	1.489545177
181	1.489343355
182	1.489063493
183	1.488766821
184	1.48864735
185	1.488412601
186	1.488256466
187	1.488026618
188	1.487924858
189	1.487825965
190	1.487594269
191	1.487326186
192	1.487024297
193	1.486796808
194	1.486469991
195	1.486160566
196	1.485981826
197	1.48588431
198	1.485618456
199	1.485280589
200	1.484963945
201	1.484851947
202	1.48468046
203	1.484552124
204	1.484427601
205	1.484346115
206	1.484286098
207	1.484108253
208	1.483896857
209	1.483709022
210	1.483454589
211	1.483199462
212	1.483051014
213	1.482935825
214	1.482815429
215	1.482638124
216	1.482451468
217	1.482129407
218	1.482066526
219	1.48189953
220	1.481659315
221	1.481515876
222	1.481282767
223	1.481041897
224	1.480895483
225	1.480707515
226	1.48053924
227	1.480259487
228	1.480076852
229	1.479962121
230	1.479724275
231	1.479526344
232	1.479328279
233	1.47913643
234	1.47892733
235	1.478697208
236	1.478445409
237	1.478239551
238	1.478132509
239	1.477830778
240	1.477742566
241	1.477582589
242	1.477375192
243	1.477272279
244	1.477093644
245	1.47688498
246	1.476807148
247	1.476661713
248	1.476405098
249	1.476225321
250	1.476034291
251	1.475920129
252	1.475713847
253	1.475601647
254	1.475437133
255	1.475214875
256	1.475018237
257	1.474792117
258	1.474577692
259	1.474372708
260	1.474195729
261	1.474030195
262	1.47384683
263	1.473681557
264	1.473568323
265	1.473377883
266	1.473283051
267	1.473097421
268	1.472935286
269	1.472832204
270	1.472764864
271	1.472522423
272	1.472320759
273	1.472168272
274	1.47205337
275	1.47192349
276	1.471852819
277	1.471766938
278	1.471688356
279	1.471418833
280	1.471283693
281	1.471098821
282	1.470910442
283	1.470846788
284	1.470586757
285	1.470376243
286	1.47011401
287	1.469910772
288	1.469814449
289	1.469682724
290	1.469629009
291	1.46946645
292	1.469372025
293	1.469119679
294	1.468917916
295	1.468875282
296	1.468690278
297	1.468609057
298	1.4685065
299	1.468362467
300	1.468240975
301	1.46793418
302	1.467817143
303	1.467669532
304	1.467552731
305	1.467437648
306	1.467323175
307	1.467256799
308	1.467081823
309	1.466881245
310	1.466774038
311	1.466607804
312	1.466488041
313	1.466313292
314	1.466081342
315	1.46605606
316	1.465881532
317	1.465686563
318	1.465596188
319	1.465491563
320	1.465319565
321	1.465200807
322	1.46502943
323	1.464906187
324	1.464777018
325	1.464607181
326	1.464451606
327	1.464290014
328	1.464116247
329	1.463971217
330	1.46379882
331	1.463689385
332	1.463518231
333	1.46330628
334	1.46322836
335	1.46305384
336	1.46297849
337	1.462849715
338	1.462736867
339	1.462630559
340	1.462517403
341	1.462414109
342	1.46226037
343	1.46209649
344	1.461965888
345	1.461742382
346	1.461568494
347	1.461486197
348	1.461421964
349	1.461295633
350	1.461192107
351	1.46103644
352	1.460883347
353	1.460764144
354	1.460637698
355	1.460525617
356	1.460374485
357	1.460191121
358	1.460069376
359	1.459781955
360	1.459683631
361	1.459467375
362	1.459314911
363	1.459129611
364	1.458951241
365	1.458860545
366	1.458789662
367	1.458627916
368	1.458500405
369	1.458429132
370	1.458220811
371	1.458025489
372	1.457920931
373	1.45783389
374	1.45772364
375	1.457535921
376	1.457349321
377	1.457172591
378	1.457041635
379	1.456909518
380	1.45680409
381	1.456618969
382	1.456526486
383	1.456371202
384	1.4562767
385	1.456125598
386	1.455961712
387	1.45579462
388	1.455551497
389	1.455419634
390	1.455327326
391	1.455244822
392	1.455101582
393	1.455021968
394	1.454848928
395	1.45471613
396	1.454584149
397	1.454429451
398	1.454309285
399	1.454198941
400	1.454026904
401	1.453929352
402	1.45381414
403	1.453668846
404	1.453580144
405	1.4534281
406	1.453312113
407	1.453199196
408	1.452981503
409	1.452753152
410	1.452579896
411	1.452443382
412	1.452346817
413	1.452203027
414	1.452066788
415	1.451894674
416	1.451775869
417	1.451732377
418	1.451587936
419	1.451501206
420	1.451393126
421	1.451251523
422	1.45112988
423	1.450893345
424	1.450821296
425	1.450701266
426	1.450584358
427	1.450449294
428	1.450279582
429	1.450192781
430	1.450120489
431	1.449946836
432	1.449839632
433	1.449662004
434	1.449472276
435	1.449354725
436	1.449284705
437	1.449216539
438	1.449017694
439	1.448873615
440	1.448690942
441	1.448500043
442	1.448355365
443	1.44820326
444	1.448062485
445	1.447882595
446	1.447791758
447	1.447708573
448	1.447635489
449	1.447574254
450	1.447432359
451	1.447183694
452	1.447091609
453	1.446938067
454	1.446790537
455	1.446677211
456	1.446564488
457	1.446434463
458	1.446322001
459	1.4462044
460	1.445929417
461	1.445837499
462	1.445691234
463	1.44557648
464	1.445447283
465	1.44533012
466	1.445232709
467	1.445133656
468	1.445045716
469	1.444925167
470	1.444824921
471	1.444627095
472	1.444479988
473	1.444361146
474	1.444256225
475	1.444123293
476	1.444045953
477	1.443930707
478	1.44382449
479	1.443728636
480	1.443567191
481	1.443416084
482	1.443270092
483	1.443111433
484	1.442972782
485	1.442886315
486	1.442785268
487	1.442676104
488	1.442588553
489	1.442493212
490	1.442328316
491	1.442228972
492	1.442097447
493	1.441927771
494	1.441797971
495	1.441625936
496	1.441428597
497	1.441266194
498	1.441084718
499	1.440993133
500	1.440829209
501	1.440719327
502	1.440599769
503	1.440470308
504	1.440303638
505	1.440158873
506	1.440015892
507	1.439927773
508	1.439820949
509	1.439727069
510	1.439582219
511	1.439508502
512	1.439334781
513	1.439253905
514	1.439152842
515	1.439017603
516	1.438866287
517	1.438764588
518	1.438679488
519	1.438581134
520	1.4384703
521	1.43838313
522	1.438299757
523	1.438148583
524	1.438030077
525	1.437953365
526	1.437850733
527	1.437750874
528	1.437639945
529	1.437502674
530	1.437439772
531	1.437336685
532	1.43725611
533	1.437129413
534	1.436979456
535	1.436857772
536	1.436797968
537	1.436677052
538	1.436530493
539	1.436415183
540	1.436278265
541	1.436119337
542	1.436004815
543	1.435901846
544	1.435809239
545	1.435639655
546	1.435519441
547	1.435391643
548	1.435295448
549	1.435086081
550	1.43499642
551	1.43487821
552	1.434721553
553	1.434611338
554	1.434521246
555	1.434470676
556	1.434332993
557	1.434231789
558	1.434159184
559	1.434071098
560	1.433937836
561	1.433878168
562	1.433717549
563	1.433638988
564	1.433510952
565	1.433394285
566	1.433298038
567	1.433230348
568	1.433109075
569	1.433004779
570	1.432875972
571	1.43274782
572	1.432555712
573	1.432433432
574	1.43229564
575	1.432138529
576	1.432034538
577	1.431899395
578	1.431796225
579	1.431730622
580	1.431595202
581	1.43147423
582	1.431349268
583	1.431203393
584	1.431085461
585	1.430984974
586	1.430821626
587	1.430735288
588	1.430649555
589	1.430527524
590	1.430432075
591	1.43030129
592	1.430218263
593	1.430077962
594	1.429954214
595	1.429859718
596	1.429757286
597	1.429616999
598	1.429517789
599	1.429402023
600	1.429257521
601	1.42908564
602	1.428988786
603	1.428864787
604	1.42875702
605	1.428656227
606	1.428461936
607	1.428309491
608	1.428154987
609	1.428006472
610	1.427909675
611	1.427820827
612	1.42768778
613	1.427536132
614	1.427507475
615	1.427424215
616	1.427282663
617	1.427184209
618	1.427075142
619	1.42692248
620	1.426813343
621	1.42670453
622	1.426625885
623	1.426547999
624	1.426465483
625	1.426424903
626	1.426303421
627	1.426215793
628	1.426090577
629	1.425975827
630	1.425873749
631	1.4257508
632	1.42564795
633	1.42558826
634	1.42547309
635	1.425331946
636	1.425210944
637	1.424997385
638	1.424957607
639	1.424843555
640	1.424735485
641	1.424631406
642	1.42458101
643	1.424450574
644	1.424328881
645	1.424169346
646	1.424080953
647	1.423962673
648	1.42380647
649	1.423682669
650	1.423596063
651	1.423514881
652	1.423410794
653	1.423335221
654	1.423251083
655	1.42313692
656	1.423051568
657	1.422876483
658	1.422796912
659	1.422663602
660	1.422570318
661	1.422428382
662	1.422274371
663	1.422137007
664	1.422009838
665	1.421850625
666	1.421745968
667	1.421676934
668	1.421540291
669	1.42145865
670	1.42135032
671	1.421247723
672	1.421109866
673	1.420982702
674	1.42091735
675	1.420824341
676	1.420708649
677	1.42062526
678	1.42045313
679	1.420368699
680	1.420286053
681	1.420126745
682	1.420014558
683	1.419878335
684	1.419822845
685	1.419704428
686	1.419607788
687	1.419523297
688	1.419406673
689	1.419306806
690	1.419143068
691	1.41905151
692	1.418934852
693	1.418827523
694	1.418693346
695	1.418556584
696	1.418349246
697	1.418249933
698	1.418171909
699	1.418063158
700	1.417958464
701	1.417857569
702	1.417785668
703	1.417659721
704	1.417508643
705	1.417382137
706	1.417252301
707	1.417151047
708	1.417024894
709	1.416931509
710	1.416851376
711	1.416704263
712	1.41658203
713	1.416483497
714	1.416308445
715	1.416124793
716	1.415976919
717	1.415911471
718	1.415809398
719	1.415686779
720	1.415607706
721	1.415390342
722	1.415280567
723	1.415176546
724	1.415023759
725	1.414941197
726	1.414826355
727	1.414680483
728	1.414597569
729	1.414511639
730	1.41439302
731	1.41427007
732	1.414175589
733	1.414089392
734	1.413972631
735	1.413839603
736	1.413745331
737	1.413614944
738	1.413509729
739	1.413401203
740	1.413278051
741	1.413204462
742	1.413084344
743	1.413009833
744	1.412888891
745	1.412821704
746	1.412755337
747	1.412581148
748	1.412460415
749	1.412317469
750	1.412211647
751	1.41210798
752	1.412001422
753	1.411934146
754	1.41179675
755	1.41171836
756	1.411626145
757	1.411526514
758	1.411364409
759	1.411263289
760	1.411169929
761	1.411048977
762	1.410948719
763	1.410890288
764	1.410739226
765	1.410629939
766	1.410553095
767	1.410466182
768	1.410357232
769	1.41022458
770	1.410131517
771	1.410025287
772	1.409962068
773	1.409775579
774	1.409667757
775	1.409511393
776	1.409428358
777	1.409386957
778	1.409227967
779	1.40911552
780	1.40897567
781	1.408799085
782	1.408684032
783	1.40857525
784	1.408468414
785	1.408348547
786	1.408218559
787	1.40812827
788	1.407993879
789	1.40788739
790	1.407804591
791	1.407654906
792	1.407539863
793	1.40738401
794	1.407231786
795	1.407084136
796	1.406921656
797	1.406770489
798	1.406642215
799	1.406534931
800	1.406466706
801	1.406365381
802	1.406253644
803	1.406156835
804	1.406057038
805	1.405914823
806	1.405775621
807	1.405704518
808	1.405630161
809	1.405577376
810	1.405449476
811	1.405374142
812	1.405307822
813	1.405168782
814	1.405082438
815	1.404969938
816	1.404867605
817	1.404758476
818	1.404672386
819	1.404562647
820	1.404428276
821	1.404267858
822	1.404209512
823	1.404127354
824	1.404029482
825	1.403910751
826	1.403861251
827	1.403760779
828	1.403671059
829	1.403564284
830	1.403461814
831	1.403356528
832	1.403251495
833	1.403106073
834	1.403038781
835	1.402955433
836	1.402873388
837	1.402750004
838	1.402689518
839	1.402580276
840	1.40246637
841	1.402415568
842	1.402318244
843	1.402186486
844	1.402090523
845	1.402007484
846	1.401968227
847	1.401811011
848	1.40169108
849	1.401529979
850	1.401396153
851	1.401286133
852	1.401159628
853	1.401063955
854	1.400932917
855	1.400826571
856	1.400685042
857	1.400583455
858	1.400482764
859	1.40040786
860	1.400338815
861	1.400218782
862	1.400129706
863	1.400039371
864	1.399953023
865	1.399835571
866	1.399718707
867	1.399604232
868	1.399528624
869	1.399427371
870	1.39927553
871	1.399162712
872	1.399048679
873	1.398918278
874	1.398837891
875	1.398753696
876	1.39865601
877	1.398593353
878	1.398467476
879	1.398299037
880	1.39822748
881	1.39813989
882	1.398062443
883	1.397883042
884	1.397758703
885	1.397668011
886	1.397559884
887	1.39744328
888	1.397323113
889	1.397221849
890	1.397107286
891	1.397043096
892	1.396948025
893	1.396856786
894	1.396713001
895	1.396634147
896	1.396554369
897	1.396458744
898	1.396374955
899	1.396259929
900	1.39615577
901	1.396075603
902	1.395989925
903	1.395839474
904	1.395761021
905	1.395657971
906	1.395556947
907	1.395417851
908	1.395320305
909	1.395260611
910	1.395177494
911	1.395063743
912	1.394984047
913	1.394881336
914	1.394761559
915	1.394691623
916	1.394577459
917	1.394493555
918	1.394407041
919	1.394326802
920	1.39422415
921	1.39409998
922	1.393960858
923	1.393881769
924	1.393708029
925	1.39362736
926	1.393496486
927	1.393373735
928	1.393261493
929	1.39320709
930	1.393137024
931	1.39297976
932	1.392852575
933	1.392744974
934	1.392667972
935	1.392566614
936	1.39247716
937	1.392358354
938	1.39226068
939	1.392129429
940	1.392019012
941	1.39195797
942	1.391845533
943	1.391723413
944	1.391631501
945	1.391516029
946	1.391400536
947	1.391234606
948	1.39108474
949	1.391007283
950	1.390883347
951	1.390796346
952	1.390695001
953	1.390620172
954	1.390504547
955	1.390425519
956	1.390301788
957	1.390237226
958	1.390120453
959	1.390014096
960	1.389909155
961	1.389797907
962	1.389732369
963	1.389666445
964	1.389584101
965	1.389531022
966	1.389454317
967	1.389378446
968	1.389290991
969	1.389182598
970	1.389124894
971	1.389037426
972	1.388927393
973	1.388809263
974	1.38873052
975	1.388649151
976	1.388584815
977	1.38846871
978	1.388322279
979	1.388262389
980	1.388172681
981	1.388075093
982	1.387985541
983	1.387814747
984	1.387698519
985	1.387636491
986	1.387572865
987	1.387496574
988	1.387399959
989	1.387328485
990	1.38722131
991	1.387114612
992	1.38698785
993	1.386918086
994	1.386787914
995	1.386654857
996	1.38657128
997	1.386454154
998	1.386377932
999	1.38626442
